locale,category,slug,title,description
en,guides,release-date-early-access,"Withering Realms Release Date and Early Access Explained","Withering Realms enters Steam Early Access on September 2, 2026. See what the developer has confirmed for launch and the road to full release."
en,guides,platforms-console-release,"Is Withering Realms Coming to PS5 or Consoles?","Withering Realms launches first on Windows PC through Steam. Learn what is confirmed about consoles and why a PS5 version is not yet official."
en,guides,gameplay-overview,"Withering Realms Gameplay Overview: What Is Confirmed","An official-source overview of Withering Realms combat, exploration, puzzles, progression, randomized areas, death rules, and world-map structure."
en,guides,demo-trailers-official-links,"Withering Realms Demo, Trailers, and Official Links","Check the current Withering Realms demo status, watch the official trailers, and find the official website and Steam page without relying on rumors."
en,items,doll-arm-weapons,"Withering Realms Doll Arm Weapons and Machines","See the officially named weapons and machines that can slot into the doll guardian's missing right arm, plus an important source discrepancy."
en,items,artifacts-upgrade-materials,"Withering Realms Artifacts and Upgrade Materials","Learn what official sources confirm about treasure, magical artifacts, upgrade materials, crafting, and progression in Withering Realms."
en,maps,penwyll-confirmed-locations,"Withering Realms Map: Penwyll and Confirmed Locations","Explore the confirmed Withering Realms setting: Penwyll, graveyards, tombs, caves, rotting estates, a decaying mansion, shops, and NPCs."
en,maps,nighttime-world-changes,"How Night Changes the World in Withering Realms","Withering Realms lets players revisit areas at night for new creatures and secrets. Here is what is confirmed and what remains unknown."
en,characters,althea-ally-abilities,"Withering Realms Althea and Confirmed Ally Abilities","Meet Althea, the freelance investigator confirmed for Withering Realms, and learn how interrogation, lockpicking, and forgery fit her role."
en,characters,story-setting-clover-doll,"Withering Realms Story, Setting, Clover, and the Doll","Understand the official Withering Realms premise: the 1926 occult event, ghost child Clover, her doll guardian, and their search for a return to life."
